GENERATION_PROJECT,build_year,gen_predetermined_cap
g10581,2019,25.317934536516102
g10582,2019,148.0553060227793
g10583,2019,148.0553060227793
g10584,2019,21.874695439549914
g10585,2019,21.874695439549914
g10586,2019,12.962782482696245
g10587,2019,1096.2665654311472
g10588,2019,1096.2665654311472
g10589,2019,1096.2665654311472
g10590,2019,1096.2665654311472
g10591,2019,1096.2665654311472
g10592,2019,1096.2665654311472
g10593,2019,52.998538723979884
g10594,2019,52.998538723979884
g10595,2019,52.998538723979884
g10596,2019,52.998538723979884
g10597,2019,52.998538723979884
g10598,2019,52.998538723979884
g10599,2019,99.1236262693486
g10600,2019,99.1236262693486
g10601,2019,99.1236262693486
g10602,2019,0.026747166331351463
g10603,2019,0.026747166331351463
g10604,2019,0.026747166331351463
g10605,2019,0.026747166331351463
g10606,2019,12.15260857752773
g10607,2019,53.066390788537745
g10608,2019,53.066390788537745
g10609,2019,175.50392220712962
g10610,2019,175.50392220712962
g10611,2019,175.50392220712962
g10612,2019,175.50392220712962
g10613,2019,175.50392220712962
g10614,2019,175.50392220712962
g10615,2019,27.14082582314526
g10616,2019,258.30260917094097
g10617,2019,78.46591687041561
g10618,2019,78.46591687041561
g10619,2019,8.101739051685152
g10620,2019,8.101739051685152
g10621,2019,8.101739051685152
g10622,2019,8.101739051685152
g10623,2019,105.52312958435203
g10624,2019,105.52312958435203
g10625,2019,11.873587679631965
g10626,2019,11.873587679631965
g10627,2019,11.873587679631965
g10628,2019,11.873587679631965
g10629,2019,177.27484922575383
g10630,2019,204.43227383863072
g10631,2019,166.126073236956
g10632,2019,166.126073236956
g10633,2019,130.64054220842308
g10634,2019,130.64054220842308
g10635,2019,130.64054220842308
g10636,2019,130.64054220842308
g10637,2019,130.64054220842308
g10638,2019,130.64054220842308
g10639,2019,38.79174714067529
g10640,2019,38.79174714067529
g10641,2019,38.79174714067529
g10642,2019,99.66161954959271
g10643,2019,17.51228479841509
g10644,2019,50.246003186150276
g10645,2019,50.246003186150276
g10646,2019,39.20903315272632
g10647,2019,39.20903315272632
g10648,2019,39.20903315272632
g10649,2019,39.20903315272632
g10650,2019,39.20903315272632
g10651,2019,39.20903315272632
g10652,2019,123.99642229675769
g10653,2019,101.47915668423573
g10654,2019,168.08026228934642
g10655,2019,168.08026228934642
g10656,2019,168.07720782106765
g10657,2019,168.08026228934642
g10658,2019,168.08026228934642
g10659,2019,168.08026228934642
g10660,2019,101.68110525475163
g10661,2019,150.19924932119469
g10662,2019,150.19924932119469
g10663,2019,50.9078046465555
g10664,2019,50.9078046465555
g10665,2019,18.32680967275998
g10666,2019,7.395203414898993
g10667,2019,5.616610188530881
g10668,2019,7.395203414898993
g10669,2019,366.53619345519957
g10670,2019,366.53619345519957
g10671,2019,366.53619345519957
g10672,2019,366.53619345519957
g10673,2019,366.53619345519957
g10674,2019,366.53619345519957
g10675,2019,261.3935543515088
g10676,2019,261.3935543515088
g10677,2019,261.3935543515088
g10678,2019,9.628474608910082
g10679,2019,15.27234139396665
g10680,2019,15.27234139396665
g10681,2019,25.142597029228554
g10682,2019,25.142597029228554
g10683,2019,151.36045360166108
g10684,2019,151.36045360166108
g10685,2019,151.36045360166108
g10686,2019,9.087685673215141
g10687,2019,33.44199520424003
g10688,2019,33.44199520424003
g10689,2019,33.44199520424003
g10690,2019,33.44199520424003
g10691,2019,126.42138759097713
g10692,2019,126.42138759097713
g10693,2019,126.42444205925592
g10694,2019,109.05222807858169
g10695,2019,13.23602920810443
g10696,2019,13.23602920810443
g10697,2019,176.65108351083254
