GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio
g12646,wind,2070177,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12647i,wind,2070177,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12647,wind,2070177,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12648i,wind,2070180,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12648,wind,2070180,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12649i,wind,2070181,0,5000.0,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12649,wind,2070181,0,.,.,0.0,20,0,0,0,1,1,0,Wind,.,.,.,.,.
g12650i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12650,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12651i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12651,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12652i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12652,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12653i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12653,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12654i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12654,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12655i,hydro,2070182,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12655,hydro,2070182,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12656i,coal,2070184,0,0.0,5.2,8.526810000000001,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12656,coal,2070184,0,.,5.2,8.526810000000001,40,0,0,0,1,1,0,Coal,.,.,.,.,.
g12657i,ng,2070188,0,5000.0,4.3,10.607963999999999,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12657,ng,2070188,0,.,4.3,10.607963999999999,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12658i,ng,2070188,0,5000.0,4.47,11.049774,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12658,ng,2070188,0,.,4.47,11.049774,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12659i,ng,2070189,0,5000.0,4.39,9.678954,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12659,ng,2070189,0,.,4.39,9.678954,20,0,0,0,1,1,0,NaturalGas,.,.,.,.,.
g12660i,hydro,2074196,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12660,hydro,2074196,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12661i,hydro,2074196,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12661,hydro,2074196,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12662i,hydro,2074197,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12662,hydro,2074197,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12663i,hydro,2074197,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12663,hydro,2074197,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12664i,hydro,2074199,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12664,hydro,2074199,0,.,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
g12665i,hydro,2074199,0,5000.0,.,0.0,60,0,0,0,1,1,0,Water,.,.,.,.,.
