GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om
g10950,2019,1616000,57472.77975887248
g10951,2019,1616000,57472.77975887248
g10952,2019,1616000,57472.77975887248
g10953,2019,1616000,161343.11020408163
g10954,2019,5983000,0.0
g10955,2019,1600000,0.0
g10956,2019,1600000,0.0
g10957,2019,1600000,0.0
g10958,2019,1600000,0.0
g10959,2019,1600000,0.0
g10960,2019,1600000,0.0
g10961,2019,5983000,0.0
g10962,2019,5983000,0.0
g10963,2019,5983000,0.0
g10964,2019,5983000,0.0
g10965,2019,1600000,0.0
g10966,2019,1600000,0.0
g10967,2019,1600000,0.0
g10968,2019,1600000,0.0
g10969,2019,1600000,0.0
g10970,2019,1600000,0.0
g10971,2019,5983000,0.0
g10972,2019,5983000,0.0
g10973,2019,1600000,0.0
g10974,2019,1600000,0.0
g10975,2019,1600000,0.0
g10976,2019,1600000,0.0
g10977,2019,1616000,303910.0390243903
g10978,2019,1616000,303910.0390243903
g10979,2019,1616000,210939.9824320615
g10980,2019,1616000,210939.9824320615
g10981,2019,1616000,210939.9824320615
g10982,2019,1616000,303910.0390243903
g10983,2019,5983000,0.0
g10984,2019,5983000,0.0
g10985,2019,1616000,177676.69090909092
g10986,2019,1616000,159034.10602409643
g10987,2019,1616000,159034.10602409643
g10988,2019,1616000,159034.10602409643
g10989,2019,1600000,0.0
g10990,2019,1600000,0.0
g10991,2019,1600000,0.0
g10992,2019,1600000,0.0
g10993,2019,5983000,0.0
g10994,2019,5983000,0.0
g10995,2019,5983000,0.0
g10996,2019,5983000,0.0
g10997,2019,5983000,0.0
g10998,2019,1616000,98607.98021851639
g10999,2019,1616000,98607.98021851639
g11000,2019,5983000,0.0
g11001,2019,5983000,0.0
g11002,2019,5983000,0.0
g11003,2019,5983000,0.0
g11004,2019,5983000,0.0
g11005,2019,1616000,928745.852522639
g11006,2019,1616000,928745.852522639
g11007,2019,1616000,928745.852522639
g11008,2019,1616000,928745.852522639
g11009,2019,1616000,928745.852522639
g11010,2019,1616000,928745.852522639
g11011,2019,1616000,270683.37046352855
g11012,2019,1616000,270683.37046352855
g11013,2019,1616000,270683.37046352855
g11014,2019,1616000,270683.37046352855
g11015,2019,1616000,270683.37046352855
g11016,2019,1616000,270683.37046352855
g11017,2019,5983000,0.0
g11018,2019,5983000,0.0
g11019,2019,5983000,0.0
g11020,2019,5983000,0.0
g11021,2019,5983000,0.0
g11022,2019,5983000,0.0
g11023,2019,5983000,0.0
g11024,2019,5983000,0.0
g11025,2019,5983000,0.0
g11026,2019,5983000,0.0
g11027,2019,5983000,0.0
g11028,2019,5983000,0.0
g11029,2019,1616000,51631.94782608696
g11030,2019,1616000,51631.94782608696
g11031,2019,1616000,51631.94782608696
g11032,2019,1616000,51631.94782608696
g11033,2019,1956000,0.0
g11034,2019,1956000,0.0
g11035,2019,1956000,0.0
g11036,2019,1956000,0.0
g11037,2019,1616000,47465.845345090725
g11038,2019,1616000,47465.845345090725
g11039,2019,1616000,47465.845345090725
g11040,2019,1616000,47465.845345090725
g11041,2019,1956000,0.0
g11042,2019,1956000,0.0
g11043,2019,1956000,0.0
g11044,2019,1956000,0.0
g11045,2019,1956000,0.0
g11046,2019,1956000,0.0
g11047,2019,1616000,51702.531829404084
g11048,2019,1616000,51702.531829404084
g11049,2019,1616000,51702.531829404084
g11050,2019,1616000,154819.73115137347
g11051,2019,1616000,154819.73115137347
g11052,2019,1616000,154819.73115137347
g11053,2019,1616000,539314.2666666667
g11054,2019,1616000,539314.2666666667
g11055,2019,5255000,99959.89391604195
g11056,2019,1616000,284389.41818181815
g11057,2019,1616000,284389.41818181815
g11058,2019,1616000,125962.06153846154
g11059,2019,1616000,125962.06153846154
g11060,2019,1616000,42830.909673697024
g11061,2019,1616000,42830.909673697024
g11062,2019,1616000,42830.909673697024
g11063,2019,1616000,48757.671826625396
g11064,2019,1616000,48757.671826625396
g11065,2019,1616000,48757.671826625396
g11066,2019,1600000,0.0
g11067,2019,1600000,0.0
g11068,2019,1616000,167459.51489361702
g11069,2019,1616000,167459.51489361702
g11070,2019,1616000,167459.51489361702
g11071,2019,1616000,158750.68617234466
g11072,2019,1616000,158750.68617234466
g11073,2019,1616000,158750.68617234466
g11074,2019,1616000,158750.68617234466
g11075,2019,5255000,112134.70834591571
g11076,2019,5255000,101408.47252306469
g11077,2019,5255000,37498.32644295302
g11078,2019,1616000,134021.48429752068
g11079,2019,1616000,167459.51489361702
g11080,2019,1956000,0.0
g11081,2019,1956000,0.0
g11082,2019,1956000,0.0
g11083,2019,1956000,0.0
g11084,2019,1616000,50881.00344876459
g11085,2019,1616000,50881.00344876459
g11086,2019,1616000,50881.00344876459
g11087,2019,1956000,0.0
g11088,2019,1616000,167459.51489361702
g11089,2019,1616000,155706.42352941175
g11090,2019,1616000,203785.20222045996
g11091,2019,1616000,203785.20222045996
g11092,2019,1616000,203785.20222045996
g11093,2019,1616000,80475.80469517093
g11094,2019,1616000,80475.80469517093
g11095,2019,1616000,80475.80469517093
g11096,2019,1616000,511860.0168421053
g11097,2019,1616000,511860.0168421053
g11098,2019,1616000,274652.8554744526
g11099,2019,1616000,274652.8554744526
g11100,2019,1956000,0.0
g11101,2019,1956000,0.0
g11102,2019,1616000,228921.69216921696
g11103,2019,1616000,228921.69216921696
g11104,2019,1616000,228921.69216921696
g11105,2019,5255000,354119.7875932274
g11106,2019,5255000,395458.27732412994
g11107,2019,5255000,310535.62374020164
g11108,2019,5255000,310535.62374020164
g11109,2019,5255000,374006.1780703606
g11110,2019,5255000,338683.2421519015
g11111,2019,1616000,46075.68795472918
g11112,2019,1616000,49866.55979480602
g11113,2019,1616000,49866.55979480602
g11114,2019,1616000,49866.55979480602
g11115,2019,1616000,132652.32799738648
g11116,2019,1616000,132652.32799738648
g11117,2019,1616000,132652.32799738648
g11118,2019,1616000,132652.32799738648
g11119,2019,1616000,132652.32799738648
g11120,2019,1616000,457797.6
g11121,2019,1616000,457797.6
g11122,2019,1956000,0.0
g11123,2019,1956000,0.0
g11124,2019,1616000,174119.6
g11125,2019,1616000,174119.6
g11126,2019,1616000,174119.6
g11127,2019,1616000,130116.22619808307
g11128,2019,1616000,130116.22619808307
g11129,2019,1616000,249286.54736842107
g11130,2019,1616000,402473.1737704918
g11131,2019,1616000,402473.1737704918
g11132,2019,1616000,402473.1737704918
g11133,2019,1616000,235658.37399380805
g11134,2019,1616000,235658.37399380805
g11135,2019,1956000,0.0
g11136,2019,1616000,161343.11020408163
g11137,2019,1616000,161343.11020408163
g11138,2019,1616000,274652.8554744526
g11139,2019,1616000,158468.4
g11140,2019,5983000,0.0
g11141,2019,5983000,0.0
g11142,2019,5983000,0.0
g11143,2019,5983000,0.0
g11144,2019,5983000,0.0
g11145,2019,5983000,0.0
g11146,2019,5983000,0.0
g11147,2019,5983000,0.0
g11148,2019,5983000,0.0
g11149,2019,5983000,0.0
g11150,2019,5983000,0.0
g11151,2019,1600000,0.0
g11152,2019,1600000,0.0
g11153,2019,1600000,0.0
g11154,2019,1600000,0.0
g11155,2019,1616000,82820.93333333335
g11156,2019,1616000,82820.93333333335
g11157,2019,1616000,82820.93333333335
g11158,2019,1616000,82820.93333333335
g11159,2019,5983000,0.0
g11160,2019,5983000,0.0
g11161,2019,5983000,0.0
g11162,2019,5983000,0.0
g11163,2019,5983000,0.0
g11164,2019,5983000,0.0
g11165,2019,1600000,0.0
g11166,2019,1600000,0.0
g11167,2019,1600000,0.0
g11168,2019,1600000,0.0
g11169,2019,1600000,0.0
g11170,2019,1600000,0.0
g11171,2019,1600000,0.0
g11172,2019,1600000,0.0
g11173,2019,5983000,0.0
g11174,2019,5983000,0.0
g11175,2019,5983000,0.0
g11176,2019,5983000,0.0
g11177,2019,1616000,143669.8013245033
g11178,2019,1616000,143669.8013245033
g11179,2019,1616000,143669.8013245033
g11180,2019,1616000,143669.8013245033
g11181,2019,5983000,0.0
g11182,2019,5983000,0.0
g11183,2019,5983000,0.0
g11184,2019,5983000,0.0
g11185,2019,5983000,0.0
g11186,2019,1600000,0.0
g11187,2019,1600000,0.0
g11188,2019,1616000,201980.37486910995
g11189,2019,1616000,274652.8554744526
g11190,2019,1616000,274652.8554744526
g11191,2019,5983000,0.0
g11192,2019,5983000,0.0
g11193,2019,5983000,0.0
g11194,2019,5983000,0.0
g11195,2019,5983000,0.0
g11196,2019,5983000,0.0
g11197,2019,5983000,0.0
g11198,2019,1616000,123358.95135135134
g11199,2019,1616000,123358.95135135134
g11200,2019,1600000,0.0
g11201,2019,1600000,0.0
g11202,2019,1600000,0.0
g11203,2019,5983000,0.0
g11204,2019,5983000,0.0
g11205,2019,5983000,0.0
g11206,2019,1616000,134021.48429752068
g11207,2019,1616000,134021.48429752068
g11208,2019,1616000,581050.7999999999
g11209,2019,1616000,406725.8320441989
g11210,2019,1616000,406725.8320441989
g11211,2019,1616000,161343.11020408163
g11212,2019,5983000,0.0
g11213,2019,5983000,0.0
g11214,2019,5983000,0.0
g11215,2019,5983000,0.0
g11216,2019,5255000,111826.94798950112
g11217,2019,5255000,87905.53905179325
g11218,2019,1616000,300460.61204819276
g11219,2019,1616000,300460.61204819276
g11220,2019,1616000,311067.6
g11221,2019,5983000,0.0
g11222,2019,5983000,0.0
g11223,2019,5983000,0.0
g11224,2019,5983000,0.0
g11225,2019,5983000,0.0
g11226,2019,5983000,0.0
g11227,2019,5983000,0.0
g11228,2019,5983000,0.0
g11229,2019,1600000,0.0
g11230,2019,1600000,0.0
g11231,2019,5983000,0.0
g11232,2019,1600000,0.0
g11233,2019,1600000,0.0
g11234,2019,1600000,0.0
g11235,2019,1600000,0.0
g11236,2019,5983000,0.0
g11237,2019,5983000,0.0
g11238,2019,5983000,0.0
g11239,2019,5983000,0.0
g11240,2019,5983000,0.0
g11241,2019,1616000,64527.75726495727
g11242,2019,1616000,64527.75726495727
g11243,2019,1616000,47835.23948497854
g11244,2019,1616000,47835.23948497854
g11245,2019,1616000,47835.23948497854
g11246,2019,1616000,47835.23948497854
g11247,2019,1616000,47835.23948497854
g11248,2019,1616000,47835.23948497854
g11249,2019,1600000,0.0
g11250,2019,1600000,0.0
