GENERATION_PROJECT,timepoint,gen_max_capacity_factor
g11565i,4,0.228
g11566i,4,0.2757
g11567i,4,0.2775
g11568i,4,0.2763
g11569i,4,0.2758
g11623i,4,0.2261
g11638i,4,0.2261
g11656i,4,0.1375
g11685i,4,0.2599
g11724i,4,0.1376
g11752i,4,0.0786
g11753i,4,0.0794
g11754i,4,0.0784
g11779i,4,0.1268
g11789i,4,0.1378
g11790i,4,0.1376
g11873i,4,0.1385
g11874i,4,0.1376
g11875i,4,0.1378
g11876i,4,0.1378
g11877i,4,0.1376
g11878i,4,0.1375
g11886i,4,0.1395
g11887i,4,0.1383
g11888i,4,0.1382
g11889i,4,0.138
g11890i,4,0.1377
g11891i,4,0.1388
g11900i,4,0.2394
g11901i,4,0.2386
g11902i,4,0.2395
g11903i,4,0.1377
g11904i,4,0.1384
g11999i,4,0.2898
g12076i,4,0.2269
g12125i,4,0.1743
g12231i,4,0.1635
g12275i,4,0.243
g12310i,4,0.2107
g12316i,4,0.2098
g12319i,4,0.3298
g12320i,4,0.3304
g12355i,4,0.2195
g12383i,4,0.2654
g12384i,4,0.2344
g12410i,4,0.3639
g12411i,4,0.356
g12412i,4,0.3558
g12419i,4,0.3675
g12420i,4,0.2745
g12421i,4,0.3599
g12425i,4,0.2919
g12447i,4,0.2604
g12448i,4,0.2597
g12451i,4,0.379
g12454i,4,0.2826
g12479i,4,0.2707
g12496i,4,0.2828
g12525i,4,0.3306
g12526i,4,0.3307
g12527i,4,0.3178
g12563i,4,0.3555
g12567i,4,0.3626
g12568i,4,0.3614
g12569i,4,0.3613
g12583i,4,0.3757
g12585i,4,0.4269
g12586i,4,0.4275
g12591i,4,0.4428
g12592i,4,0.4432
g12597i,4,0.4482
g12598i,4,0.449
g12599i,4,0.4476
g12600i,4,0.448
g12601i,4,0.4481
g12602i,4,0.2789
g12608i,4,0.4403
g12617i,4,0.3647
g12618i,4,0.3648
g12623i,4,0.3808
g12641i,4,0.2997
g12646i,4,0.4522
g12647i,4,0.4516
g12648i,4,0.3808
g12649i,4,0.3798
g12687i,4,0.2335
g12688i,4,0.2632
g12689i,4,0.2625
g12693i,4,0.2448
g12694i,4,0.2449
g12695i,4,0.2452
g12711i,4,0.2632
g12712i,4,0.2623
g12713i,4,0.2623
g12717i,4,0.2215
g12725i,4,0.2588
g12726i,4,0.2586
g12727i,4,0.2587
g12728i,4,0.2464
g12732i,4,0.1996
g12733i,4,0.2586
g12734i,4,0.2587
g12738i,4,0.2633
g12739i,4,0.2622
g12740i,4,0.2623
g12741i,4,0.2632
g12742i,4,0.2592
g12743i,4,0.2596
g12744i,4,0.2586
g12745i,4,0.2588
g12751i,4,0.264
g12752i,4,0.2632
g12758i,4,0.2335
g12778i,4,0.264
g12779i,4,0.2351
g12780i,4,0.236
g12781i,4,0.2356
g12794i,4,0.3673
g12795i,4,0.392
g12796i,4,0.3918
g12810i,4,0.3188
g12811i,4,0.319
g12821i,4,0.3206
g12822i,4,0.3208
g12851i,4,0.3671
g12853i,4,0.4057
g13911i,4,0
g13912i,4,0
g13913i,4,0
g13914i,4,0
g13915i,4,0
g13916i,4,0
g13917i,4,0
g13918i,4,0
g13919i,4,0
g13920i,4,0
g13921i,4,0
g13922i,4,0
g13923i,4,0
g13924i,4,0
g13925i,4,0
g13926i,4,0
g13927i,4,0
g13928i,4,0
g13929i,4,0
g13930i,4,0
g13931i,4,0
g13932i,4,0
g13933i,4,0
g13934i,4,0
g14007i,4,0.283
g14008i,4,0.2652
g14009i,4,0.2836
g14010i,4,0.138
g14011i,4,0.2836
g14012i,4,0.2608
g14013i,4,0.2836
g14014i,4,0.2272
g14015i,4,0.2272
g14016i,4,0.3209
g14017i,4,0.2716
g14018i,4,0.2598
g14019i,4,0.2836
g10397i,5,0.2444
g10400i,5,0.2255
g10401i,5,0.2158
g10428i,5,0.2051
g10442i,5,0.2108
g10458i,5,0.2368
g10463i,5,0.2364
g10475i,5,0.2576
g10522i,5,0.2522
g10541i,5,0.2516
g10559i,5,0.2516
g10560i,5,0.2156
g10569i,5,0.2021
g10570i,5,0.2051
g10571i,5,0.2051
g10572i,5,0.2522
g10617i,5,0.2156
g10618i,5,0.2156
g10623i,5,0.2347
g10624i,5,0.2347
g10629i,5,0.1813
g10630i,5,0.2444
g10642i,5,0.2353
g10652i,5,0.1831
g10653i,5,0.2148
g10660i,5,0.3061
g10661i,5,0.2259
g10662i,5,0.2259
g10681i,5,0.2471
g10682i,5,0.2471
g10683i,5,0.2426
g10684i,5,0.2426
g10685i,5,0.2426
g10686i,5,0.2426
g10694i,5,0.2429
g10722i,5,0.2327
g10725i,5,0.1961
g10726i,5,0.2118
g10727i,5,0.2118
g10738i,5,0.2353
g10748i,5,0.1691
g10752i,5,0.1823
g10753i,5,0.1823
g10754i,5,0.1823
g10755i,5,0.1823
g10756i,5,0.2167
g10767i,5,0.2136
g10768i,5,0.1691
g10769i,5,0.1691
g10789i,5,0.2429
g10790i,5,0.2429
g10806i,5,0.2471
g10807i,5,0.2471
g10808i,5,0.2471
g10819i,5,0.1981
g10872i,5,0.1537
g11033i,5,0.1537
g11034i,5,0.1537
g11035i,5,0.1537
g11036i,5,0.1537
g11041i,5,0.1389
g11042i,5,0.1389
g11043i,5,0.1389
g11044i,5,0.1389
g11045i,5,0.1389
g11046i,5,0.1389
g11080i,5,0.1537
g11081i,5,0.1537
g11082i,5,0.1537
